event_id,user_id,event_name,event_time,channel,region
1,23,session_start,2026-07-13T14:42:00,social,na
2,32,session_start,2026-07-27T18:21:00,referral,emea
3,42,signup_completed,2026-07-30T20:05:00,referral,emea
4,11,page_view,2026-07-26T22:27:00,organic,apac
5,33,signup_completed,2026-07-25T19:12:00,organic,apac
6,39,login,2026-07-08T08:36:00,organic,apac
7,42,page_view,2026-07-24T14:58:00,organic,na
8,49,login,2026-07-20T11:38:00,paid,apac
9,49,signup_completed,2026-07-17T23:16:00,email,na
10,2,login,2026-07-28T21:22:00,social,na
11,1,session_start,2026-07-30T01:52:00,referral,emea
12,32,login,2026-07-23T03:54:00,email,apac
13,17,session_start,2026-07-06T23:04:00,referral,emea
14,6,login,2026-07-11T15:15:00,organic,na
15,6,page_view,2026-07-29T02:19:00,referral,apac
16,36,session_start,2026-07-26T02:18:00,referral,apac
17,41,signup_completed,2026-07-08T06:17:00,organic,apac
18,28,signup_completed,2026-07-25T17:22:00,paid,apac
19,7,page_view,2026-07-16T15:56:00,referral,na
20,2,signup_completed,2026-07-16T11:04:00,social,apac
21,9,signup_completed,2026-07-03T18:47:00,email,emea
22,33,page_view,2026-07-20T10:48:00,referral,emea
23,40,page_view,2026-07-30T02:47:00,organic,apac
24,25,signup_completed,2026-07-18T13:17:00,paid,emea
25,35,page_view,2026-07-29T08:35:00,organic,na
26,14,signup_completed,2026-07-16T19:55:00,email,na
27,33,page_view,2026-07-12T18:21:00,social,apac
28,8,session_start,2026-07-27T01:20:00,organic,apac
29,33,signup_completed,2026-07-28T15:18:00,referral,apac
30,49,page_view,2026-07-17T11:27:00,social,emea
31,6,session_start,2026-07-28T08:36:00,social,na
32,46,signup_completed,2026-07-03T00:51:00,social,na
33,32,session_start,2026-07-01T02:17:00,organic,emea
34,31,login,2026-07-26T02:39:00,paid,apac
35,22,session_start,2026-07-02T09:01:00,paid,na
36,40,signup_completed,2026-07-09T10:53:00,social,emea
37,26,session_start,2026-07-18T23:12:00,referral,emea
38,7,signup_completed,2026-07-04T12:19:00,organic,emea
39,16,login,2026-07-12T18:22:00,referral,emea
40,2,page_view,2026-07-23T21:50:00,organic,emea
41,22,login,2026-07-26T21:48:00,referral,emea
42,6,session_start,2026-07-22T10:59:00,social,na
43,8,signup_completed,2026-07-28T11:43:00,social,apac
44,4,login,2026-07-13T19:29:00,email,apac
45,40,page_view,2026-07-16T12:49:00,referral,emea
46,30,session_start,2026-07-17T23:18:00,referral,emea
47,26,signup_completed,2026-07-26T20:22:00,organic,na
48,1,login,2026-07-26T00:46:00,paid,emea
49,48,signup_completed,2026-07-08T12:52:00,organic,na
50,39,page_view,2026-07-05T21:28:00,email,emea
51,16,session_start,2026-07-05T21:56:00,social,emea
52,28,signup_completed,2026-07-15T16:29:00,referral,na
53,12,page_view,2026-07-26T15:20:00,referral,na
54,30,signup_completed,2026-07-23T09:53:00,social,emea
55,31,login,2026-07-26T18:57:00,organic,na
56,45,page_view,2026-07-16T23:15:00,paid,na
57,28,page_view,2026-07-27T19:23:00,referral,emea
58,35,page_view,2026-07-01T00:50:00,email,na
59,12,session_start,2026-07-01T00:39:00,paid,apac
60,44,signup_completed,2026-07-13T11:30:00,paid,na
61,50,session_start,2026-07-23T16:25:00,social,emea
62,10,login,2026-07-30T01:50:00,organic,apac
63,4,login,2026-07-21T17:44:00,email,na
64,36,signup_completed,2026-07-21T03:09:00,social,na
65,24,page_view,2026-07-03T16:34:00,referral,emea
66,49,session_start,2026-07-24T22:31:00,social,na
67,13,session_start,2026-07-25T02:40:00,organic,na
68,20,page_view,2026-07-25T21:12:00,email,apac
69,49,page_view,2026-07-12T08:18:00,referral,na
70,7,page_view,2026-07-14T19:18:00,paid,apac
71,16,signup_completed,2026-07-05T02:11:00,organic,apac
72,21,page_view,2026-07-21T22:15:00,organic,apac
