order_id,customer_id,order_date,amount,status,region,channel
1,17,2026-07-30,478.51,completed,emea,organic
2,26,2026-07-02,71.17,completed,na,organic
3,25,2026-07-29,350.43,completed,na,email
4,3,2026-07-18,403.72,refunded,apac,paid
5,12,2026-07-19,171.01,completed,apac,organic
6,17,2026-07-10,351.47,completed,apac,referral
7,16,2026-07-24,384.03,completed,na,organic
8,23,2026-07-05,352.29,completed,na,paid
9,25,2026-07-12,126.18,completed,na,social
10,26,2026-07-15,41.2,refunded,apac,organic
11,23,2026-07-26,292.61,completed,apac,social
12,7,2026-07-09,112.45,refunded,emea,email
13,23,2026-07-29,247.62,completed,apac,email
14,18,2026-07-27,417.88,completed,emea,email
15,44,2026-07-28,250.91,completed,na,email
16,40,2026-07-26,367.89,refunded,apac,organic
17,4,2026-07-29,337.59,completed,emea,organic
18,16,2026-07-13,315.61,completed,emea,email
19,42,2026-07-02,30.21,completed,na,social
20,18,2026-07-03,53.61,completed,na,organic
21,29,2026-07-30,250.34,completed,apac,organic
22,10,2026-07-30,220.53,completed,na,organic
23,30,2026-07-17,73.03,completed,emea,paid
24,4,2026-07-18,132.13,completed,na,social
25,46,2026-07-15,225.33,completed,na,referral
26,12,2026-07-27,475.98,completed,na,email
27,6,2026-07-07,441.98,completed,apac,social
28,34,2026-07-25,376.81,refunded,apac,referral
29,29,2026-07-22,311.71,completed,emea,paid
30,43,2026-07-02,204.36,completed,na,paid
31,3,2026-07-24,188.06,completed,emea,organic
32,9,2026-07-03,306.69,completed,na,email
33,42,2026-07-03,383.95,completed,na,email
34,32,2026-07-03,127.73,refunded,na,organic
35,9,2026-07-04,298.44,completed,apac,organic
36,3,2026-07-27,82.17,completed,apac,organic
37,34,2026-07-12,37.0,completed,na,social
38,11,2026-07-27,155.07,refunded,apac,email
39,5,2026-07-16,258.02,completed,na,referral
40,48,2026-07-13,449.35,completed,na,paid
41,40,2026-07-13,250.68,completed,apac,paid
42,3,2026-07-24,337.81,refunded,apac,social
43,45,2026-07-01,441.74,completed,na,email
44,48,2026-07-09,180.32,completed,na,social
45,42,2026-07-04,316.93,completed,apac,social
46,43,2026-07-13,438.48,completed,apac,paid
47,10,2026-07-11,129.74,completed,apac,paid
48,36,2026-07-02,419.42,completed,apac,paid
49,32,2026-07-13,316.12,completed,na,organic
50,40,2026-07-02,324.32,refunded,na,email
51,48,2026-07-06,156.0,completed,emea,organic
52,32,2026-07-02,184.1,refunded,apac,social
53,29,2026-07-22,469.87,refunded,emea,referral
54,27,2026-07-17,390.07,completed,emea,organic
55,22,2026-07-26,55.85,completed,emea,social
56,12,2026-07-04,330.84,refunded,na,referral
57,7,2026-07-29,30.62,completed,apac,email
58,11,2026-07-26,20.49,completed,emea,paid
59,29,2026-07-04,224.57,completed,na,social
60,29,2026-07-11,125.97,completed,apac,referral
61,22,2026-07-11,151.16,completed,emea,referral
62,28,2026-07-29,472.94,refunded,na,email
63,20,2026-07-06,384.85,completed,apac,email
64,1,2026-07-26,449.17,completed,emea,social
65,35,2026-07-17,332.8,refunded,emea,referral
66,16,2026-07-27,484.73,completed,na,organic
67,29,2026-07-21,93.76,completed,emea,paid
68,7,2026-07-03,402.46,refunded,na,referral
69,3,2026-07-20,402.34,completed,emea,organic
70,44,2026-07-20,226.55,completed,na,referral
71,22,2026-07-22,176.44,completed,apac,social
72,17,2026-07-08,243.01,completed,emea,email
73,45,2026-07-25,432.86,completed,na,email
74,22,2026-07-19,70.37,completed,na,referral
75,20,2026-07-01,288.63,refunded,emea,referral
76,33,2026-07-02,276.44,completed,na,organic
77,13,2026-07-20,191.74,completed,emea,paid
78,46,2026-07-26,404.28,completed,emea,referral
79,49,2026-07-08,325.49,completed,apac,organic
80,6,2026-07-09,44.95,refunded,na,paid
