user_id,signup_date,region,channel
1,2026-07-07,na,email
2,2026-07-08,na,social
3,2026-07-07,emea,email
4,2026-07-23,apac,email
5,2026-07-24,na,referral
6,2026-07-08,apac,social
7,2026-07-02,emea,paid
8,2026-07-28,na,organic
9,2026-07-12,emea,social
10,2026-07-12,na,organic
11,2026-07-27,apac,paid
12,2026-07-28,apac,email
13,2026-07-12,apac,referral
14,2026-07-25,apac,social
15,2026-07-19,apac,social
16,2026-07-09,apac,paid
17,2026-07-04,na,referral
18,2026-07-14,emea,paid
19,2026-07-09,emea,social
20,2026-07-02,apac,referral
21,2026-07-07,na,email
22,2026-07-14,na,referral
23,2026-07-18,emea,paid
24,2026-07-04,emea,social
25,2026-07-18,emea,referral
26,2026-07-02,emea,referral
27,2026-07-14,apac,referral
28,2026-07-25,emea,social
29,2026-07-16,na,paid
30,2026-07-15,na,paid
31,2026-07-25,na,organic
32,2026-07-29,apac,social
33,2026-07-01,na,organic
34,2026-07-24,na,referral
35,2026-07-08,apac,email
36,2026-07-19,na,email
37,2026-07-03,na,email
38,2026-07-05,emea,paid
39,2026-07-09,apac,organic
40,2026-07-08,emea,organic
41,2026-07-16,apac,social
42,2026-07-03,emea,email
43,2026-07-03,na,email
44,2026-07-05,apac,email
45,2026-07-01,na,paid
46,2026-07-23,apac,email
47,2026-07-09,apac,paid
48,2026-07-10,na,email
49,2026-07-07,na,referral
50,2026-07-29,emea,social
